state,ecoregion,waterbody_name,common_name,method,waterbody_type,year,effort,total_length,weight
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,439,1040
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,524,1650
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,512,1322
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,521,1539
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,517,1630
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,420,1084
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,485,1426
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,540,1640
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,550,1390
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,518,1358
Arizona,10 North American Deserts,Alamo Lake,Channel Catfish,boat_electrofishing,large_standing_waters,2020,1202,548,2045
Arizona,10 North American Deserts,Alamo Lake,Green Sunfish,boat_electrofishing,large_standing_waters,2020,1202,105,28
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,132,40
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,90,23
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,302,310
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,314,422
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,360,570
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,242,273
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,281,286
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,318,380
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,330,503
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,451,1035
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,425,1054
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,350,604
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,242,166
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,298,370
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,265,309
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,358,612
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,330,388
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,346,481
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,335,395
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,257,233
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,228,161
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,350,575
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,375,620
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,346,715
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,330,454
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,82,7
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,250,202
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,285,305
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,240,161
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,420,934
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,520,1536
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,540,1750
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,430,934
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,380,694
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,440,817
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,501,1358
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,460,1312
Arizona,10 North American Deserts,Alamo Lake,Common Carp,boat_electrofishing,large_standing_waters,2020,1202,368,605
Arizona,10 North American Deserts,Alamo Lake,Channel Catfish,boat_electrofishing,large_standing_waters,2020,1202,499,1308
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,209,164
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,165,98
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,180,118
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,171,98
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,131,41
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,115,26
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,88,12
Arizona,10 North American Deserts,Alamo Lake,Bluegill,boat_electrofishing,large_standing_waters,2020,1202,139,49
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,327,448
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,494,1493
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,435,1197
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,320,405
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,343,547
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,460,1262
