"type","area","waterbody_name","common_name","method","waterbody_type","year","effort","total_length","weight"
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,406,907
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,300,809
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,256,798
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,430,845
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,345,836
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,322,876
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,276,798
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,366,922
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,409,914
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,321,958
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,387,815
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,398,934
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,408,789
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2020,1500,440,767
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2020,1500,300,509
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2020,1500,298,465
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2020,1500,245,426
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2020,1500,309,476
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2020,1500,370,365
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2020,1500,256,387
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2020,1500,276,312
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,456,907
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,350,809
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,306,798
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,480,845
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,395,836
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,372,876
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,326,798
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,416,922
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,459,914
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,371,958
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,437,815
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,448,934
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,458,789
"state","Arizona","Bass lake","Largemouth Bass","boat_electrofishing","small_standing_waters",2021,750,490,767
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2021,750,350,509
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2021,750,348,465
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2021,750,295,426
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2021,750,359,476
